,acc,loss,lr,test accuracy,test loss,val_acc,val_loss
0,0.6796875,0.6334447550354525,9.999999747378752e-05,0.5199999809265137,0.7520387116074562,0.612500011920929,0.5802798867225647
1,0.6968749761581421,0.6250462631054688,9.999999747378752e-05,0.4749999940395355,1.266097679398954,0.4312500059604645,1.0961717367172241
2,0.7046874761581421,0.6058446242765058,9.999999747378752e-05,0.4749999940395355,1.1385450783744455,0.5562499761581421,2.6649670600891113
3,0.7046874761581421,0.5883451799862087,9.999999747378752e-05,0.5450000166893005,0.9078991707786918,0.5625,0.07665202766656876
4,0.734375,0.5508562309725675,9.999999747378752e-05,0.6449999809265137,0.6421970824152231,0.762499988079071,0.40468132495880127
5,0.7109375,0.5648037873848807,9.999999747378752e-05,0.625,0.6726390323787927,0.625,0.8571957945823669
6,0.684374988079071,0.5908071653626393,9.999999747378752e-05,0.4950000047683716,0.7961661007255316,0.4937500059604645,0.6575027108192444
7,0.7093750238418579,0.555342171958182,4.999999873689376e-05,0.5049999952316284,0.7981804931163787,0.4937500059604645,0.9792070984840393
8,0.7484375238418579,0.49366487766383216,4.999999873689376e-05,0.7049999833106995,0.5722166862338781,0.6625000238418579,0.6754879951477051
9,0.7515624761581421,0.5112004375841934,4.999999873689376e-05,0.6499999761581421,0.6027568526566028,0.6812499761581421,1.054910659790039
10,0.7718750238418579,0.47492199071566576,2.499999936844688e-05,0.6299999952316284,0.6108705853670835,0.7437499761581421,0.40663307905197144
11,0.765625,0.46195121249038495,2.499999936844688e-05,0.6349999904632568,0.5844736242294312,0.6499999761581421,0.3040253818035126
12,0.8140624761581421,0.4291809878195636,2.499999936844688e-05,0.6299999952316284,0.6292438008636236,0.675000011920929,0.6121601462364197
13,0.784375011920929,0.47614999432262267,1.249999968422344e-05,0.5699999928474426,0.7039142889156937,0.5874999761581421,0.7497138381004333
14,0.8062499761581421,0.44148646334506336,1.249999968422344e-05,0.6050000190734863,0.6396722562238574,0.5249999761581421,0.5336142778396606
15,0.800000011920929,0.4185880645789439,1.249999968422344e-05,0.6000000238418579,0.6865895963832735,0.581250011920929,0.29273781180381775
16,0.796875,0.42080905389448164,6.24999984211172e-06,0.5649999976158142,0.7636375754885375,0.4937500059604645,0.8001899123191833
17,0.7749999761581421,0.4363272297923686,6.24999984211172e-06,0.5950000286102295,0.731238593570888,0.512499988079071,0.8182357549667358
18,0.824999988079071,0.40926294146629516,6.24999984211172e-06,0.6000000238418579,0.7283511281572282,0.48750001192092896,0.1378399282693863
19,0.7828124761581421,0.4547115333843976,3.12499992105586e-06,0.5950000286102295,0.7312424912676215,0.5062500238418579,0.14249789714813232
20,0.8031250238418579,0.4306061465860694,3.12499992105586e-06,0.5950000286102295,0.7290184042602778,0.6312500238418579,1.1314201354980469
21,0.792187511920929,0.45131839729074275,3.12499992105586e-06,0.6000000238418579,0.7323840643838048,0.6000000238418579,0.7981230020523071
22,0.796875,0.43277477319643365,1.56249996052793e-06,0.6050000190734863,0.6815138566121459,0.550000011920929,0.11851315945386887
23,0.8031250238418579,0.41674137361114844,1.56249996052793e-06,0.6050000190734863,0.695439412780106,0.625,0.18695345520973206
24,0.776562511920929,0.43371321619779335,1.56249996052793e-06,0.6050000190734863,0.7007978762313724,0.606249988079071,0.10664254426956177
25,0.796875,0.4479972158311284,7.81249980263965e-07,0.6100000143051147,0.6876243215799331,0.643750011920929,0.8942562341690063
26,0.8125,0.39809235944412646,7.81249980263965e-07,0.6050000190734863,0.6933681333065033,0.59375,1.0256907939910889
27,0.8031250238418579,0.4197590116222273,7.81249980263965e-07,0.6000000238418579,0.7118636471405625,0.581250011920929,0.2854888141155243
28,0.78125,0.4055649141955655,3.906249901319825e-07,0.6150000095367432,0.7058691396936774,0.606249988079071,0.478546679019928
29,0.7953125238418579,0.41268988100928256,3.906249901319825e-07,0.6100000143051147,0.6912951664626599,0.543749988079071,0.3152695894241333
