,acc,loss,lr,test accuracy,test loss,val_acc,val_loss
0,0.5625,0.6919251956511289,9.999999747378752e-05,0.5149999856948853,0.7074307483434678,0.6312500238418579,0.5113022327423096
1,0.590624988079071,0.6778220026753843,9.999999747378752e-05,0.5099999904632568,0.835689903050661,0.5687500238418579,0.8512772917747498
2,0.5562499761581421,0.6851206369698047,9.999999747378752e-05,0.5350000262260437,1.5099141465593129,0.4749999940395355,0.029651761054992676
3,0.5843750238418579,0.6745780377648771,9.999999747378752e-05,0.5350000262260437,4.2095228886570295,0.4937500059604645,10.053528785705566
4,0.581250011920929,0.6738120639231056,9.999999747378752e-05,0.5350000262260437,2.1696664898039306,0.45625001192092896,2.5585625171661377
5,0.5796874761581421,0.6827364940196275,9.999999747378752e-05,0.5400000214576721,3.1062951331232034,0.512499988079071,0.0005237179575487971
6,0.5921875238418579,0.6749241989571602,9.999999747378752e-05,0.5450000166893005,1.7727392785759366,0.5375000238418579,1.4727705717086792
7,0.573437511920929,0.6769881028216332,9.999999747378752e-05,0.5350000262260437,3.453290552728431,0.5375000238418579,3.9199905395507812
8,0.6265624761581421,0.6565289278747514,9.999999747378752e-05,0.5550000071525574,1.58469730157929,0.5249999761581421,0.022548936307430267
9,0.5765625238418579,0.6776734403334558,4.999999873689376e-05,0.6899999976158142,0.6175996764592128,0.6812499761581421,0.7290923595428467
10,0.6187499761581421,0.6420086259022355,4.999999873689376e-05,0.5350000262260437,2.5575232515444806,0.4625000059604645,3.3916072845458984
11,0.5843750238418579,0.6808056929614394,4.999999873689376e-05,0.6449999809265137,0.6920339675992727,0.612500011920929,0.9790602922439575
12,0.614062488079071,0.6594641503877938,2.499999936844688e-05,0.6650000214576721,0.6184668250754476,0.71875,0.24079124629497528
13,0.5859375,0.6670182853937149,2.499999936844688e-05,0.6449999809265137,0.6737453602813184,0.643750011920929,1.265123963356018
14,0.6171875,0.6479826539754867,2.499999936844688e-05,0.6700000166893005,0.6787987889721989,0.768750011920929,0.2584141194820404
15,0.625,0.6487288688775152,1.249999968422344e-05,0.6549999713897705,0.625339956053067,0.7250000238418579,0.4192904233932495
16,0.606249988079071,0.6562704800628125,1.249999968422344e-05,0.6949999928474426,0.8079854900436476,0.6937500238418579,0.3475193381309509
17,0.625,0.6624455858487636,1.249999968422344e-05,0.699999988079071,0.6646972913574427,0.6875,0.006593653932213783
18,0.6328125,0.6522630790714175,6.24999984211172e-06,0.7049999833106995,0.6796170583181084,0.71875,0.8358380198478699
19,0.609375,0.6689751632977277,6.24999984211172e-06,0.7149999737739563,0.6432474065339193,0.731249988079071,1.7753376960754395
20,0.6640625,0.6254945288877934,6.24999984211172e-06,0.6700000166893005,0.6929610727634281,0.762499988079071,0.028328537940979004
21,0.635937511920929,0.6432811911683529,3.12499992105586e-06,0.7049999833106995,0.683900155047886,0.800000011920929,0.9303053021430969
22,0.6343749761581421,0.636175189865753,3.12499992105586e-06,0.6850000023841858,0.6987865632679313,0.793749988079071,0.45534318685531616
23,0.635937511920929,0.6591607094742358,3.12499992105586e-06,0.6800000071525574,0.7390827808622271,0.762499988079071,0.6631481647491455
24,0.645312488079071,0.61903031822294,1.56249996052793e-06,0.6650000214576721,0.7193026194162667,0.762499988079071,0.5079753398895264
25,0.643750011920929,0.6293590516317635,1.56249996052793e-06,0.6700000166893005,0.7891736840456725,0.6812499761581421,0.33627817034721375
26,0.6421874761581421,0.6316545451525599,1.56249996052793e-06,0.6850000023841858,0.7960439892951399,0.762499988079071,0.3394778370857239
27,0.614062488079071,0.6468703565187752,7.81249980263965e-07,0.6800000071525574,0.7181950407009572,0.7749999761581421,1.7765024900436401
28,0.629687488079071,0.6439399213530124,7.81249980263965e-07,0.675000011920929,0.7307760313153266,0.768750011920929,0.42961668968200684
29,0.604687511920929,0.6678430355619639,7.81249980263965e-07,0.6800000071525574,0.7107774243783206,0.7749999761581421,0.15986600518226624
